Period,GBP,USD,JPY,AUD,NZD,CAD,CHF,NOK,SEK,EUR
03/2025,4.6540003,4.27499,1.518438,4.4085717,4.627076,3.011781,0.68580955,4.0434756,2.6422856,3.4653332
02/2025,4.515315,4.447121,1.3483422,4.4152627,4.6016846,3.0594845,0.46547374,3.8877897,2.3227367,3.1361582
01/2025,4.6591,4.623086,1.187335,4.47915,4.638446,3.2962651,0.4349,3.9054496,2.3755002,3.3095498
12/2024,4.427667,4.391605,1.066281,4.3212376,4.497724,3.1753526,0.26795244,3.6619525,2.1799047,3.0074
11/2024,4.4410496,4.35548,1.0289001,4.5598497,4.60633,3.2779198,0.37995002,3.7454,2.1283002,3.0911999
10/2024,4.1812606,4.0899043,0.93420005,4.2566085,4.3870697,3.1912997,0.4557826,3.5548263,2.1038697,3.003739
09/2024,3.8862,3.72014,0.85244,3.9061503,4.18449,2.9486501,0.44910002,3.2781498,1.9827502,2.90915
08/2024,3.9172723,3.8699503,0.88269544,3.9717727,4.2191415,3.075577,0.42249995,3.2982726,1.9729546,2.9644096
07/2024,4.1133633,4.243276,1.0564865,4.3184094,4.486845,3.4046862,0.57695454,3.5687723,2.1454546,3.1341364
06/2024,4.1505265,4.305548,0.99441046,4.2446313,4.6538687,3.4065475,0.7301052,3.576053,2.2618947,3.129
05/2024,4.2113185,4.481726,0.95647717,4.330272,4.7400136,3.647927,0.7738636,3.6999094,2.389409,3.0100455
04/2024,4.1910453,4.535287,0.8351274,4.264,4.8176,3.6974638,0.741,3.7669997,2.4964087,2.9648185
03/2024,4.0886006,4.206775,0.7366799,4.041199,4.646505,3.4504502,0.72964996,3.6268501,2.3642998,2.8207498
02/2024,4.0419,4.2051744,0.7139698,4.137,4.78506,3.5085301,0.8804,3.7326,2.3939,2.8480997
01/2024,3.8418572,4.0526342,0.64515716,4.154238,4.642658,3.3519425,0.8597143,3.5133812,2.219,2.7309048
12/2023,3.7743497,4.018104,0.66752005,4.18135,4.6915846,3.240015,0.70570004,3.3016002,2.17765,2.64615
11/2023,4.235095,4.4996805,0.80728096,4.585142,5.094433,3.7225475,1.0413333,3.7294762,2.741286,3.1941905
10/2023,4.543773,4.7937775,0.81350917,4.634,5.5127997,4.071773,1.1430001,4.0453634,3.004364,3.4550905
09/2023,4.382799,4.37544,0.7046549,4.2246995,5.090564,3.8163447,1.0659999,3.8949497,2.87495,3.2390504
08/2023,4.48813,4.1641784,0.6306783,4.1356516,4.9422216,3.652226,1.006174,3.8774347,2.7347388,3.106348
07/2023,4.4072504,3.8947845,0.46451503,4.0375,4.6783595,3.4523697,0.98340005,3.6914496,2.4999003,3.03165
06/2023,4.3135715,3.744948,0.40166193,3.9130483,4.510848,3.3383052,0.9511904,3.5035713,2.4379048,2.9263332
05/2023,3.9223635,3.5704956,0.4047591,3.4909093,4.227663,3.040918,1.0175,3.2322266,2.2948637,2.9274542
04/2023,3.62221,3.4607475,0.45314738,3.342737,4.07531,2.9035578,1.1270525,3.098263,2.344895,2.9052105
03/2023,3.5259566,3.6637912,0.3585913,3.4747825,4.340035,2.9968345,1.268739,3.1019566,2.3152177,2.9053912
02/2023,3.435105,3.7467787,0.49514213,3.711474,4.2457848,3.1762264,1.4021055,3.1673684,2.3339474,2.8694742
01/2023,3.3893998,3.537455,0.453075,3.61965,4.119509,2.9430604,1.2749001,2.9470003,2.03515,2.6739
12/2022,3.364381,3.6191998,0.31929526,3.5845714,4.1923575,2.9564476,1.2900476,3.0087,1.9475236,2.610143
11/2022,3.2969525,3.8858192,0.2452,3.715619,4.2729144,3.1788669,1.0845714,3.297667,1.9995239,2.575333
10/2022,3.9688568,3.9699383,0.24596669,3.9207618,4.40951,3.3810475,1.2566668,3.568,2.1559525,2.7741902
09/2022,3.4071426,3.515419,0.2431,3.7402856,4.0727563,3.147752,1.136762,3.3569524,1.9685239,2.4124284
08/2022,2.2524781,2.8994267,0.19268262,3.3556957,3.5727215,2.8494523,0.59165215,2.9727387,1.521739,1.6846957
07/2022,2.0460503,2.8923402,0.22436997,3.4163997,3.6518645,3.0230103,0.7426499,2.8892999,1.4462502,1.7016503
06/2022,2.3634763,3.1392481,0.23658101,3.7411907,3.9553862,3.3117046,1.2143809,3.0561428,1.7959046,2.0365713
05/2022,1.8920001,2.8988142,0.23462859,3.379095,3.6516995,2.9189951,0.79914296,2.813666,1.7416669,1.5147141
