timestamp,netValue,
timestamp,netValue,USD_Unit_Val,USD_size,USD_value,USD_yield,USD_weight,JPY_Unit_Val,JPY_size,JPY_value,JPY_yield,JPY_weight,NOK_Unit_Val,NOK_size,NOK_value,NOK_yield,NOK_weight,CHF_Unit_Val,CHF_size,CHF_value,CHF_yield,CHF_weight,NZD_Unit_Val,NZD_size,NZD_value,NZD_yield,NZD_weight,SEK_Unit_Val,SEK_size,SEK_value,SEK_yield,SEK_weight,CAD_Unit_Val,CAD_size,CAD_value,CAD_yield,CAD_weight,AUD_Unit_Val,AUD_size,AUD_value,AUD_yield,AUD_weight,EUR_Unit_Val,EUR_size,EUR_value,EUR_yield,EUR_weight,GBP_Unit_Val,GBP_size,GBP_value,GBP_yield,GBP_weight,
2001-01-01T00:00:00,0.00,1.00,0.00,0.00,0.000000,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-31T00:00:00,0.00,1.00,0.00,0.00,0.000000,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-28T00:00:00,-70830.14,1.00,0.00,0.00,0.000000,0.00,0.01,-461686964.06,-3938804.45,0.014378,-0.34,0.11,35108374.93,3965569.33,0.059621,0.34,0.60,-6537761.10,-3951741.48,0.039210,-0.34,0.43,8964479.67,3883411.90,0.058989,0.33,0.10,-38024554.34,-3903958.35,0.052876,-0.33,0.65,5969739.39,3874692.92,0.054279,0.33,,,,,,,,,,,,,,,,
2001-03-30T00:00:00,150018.48,1.00,0.00,0.00,0.000000,0.00,0.01,-479138944.37,-3789457.01,0.012385,-0.32,0.11,36343268.65,3968862.27,0.060145,0.34,0.58,-6775765.11,-3915043.11,0.037660,-0.33,0.40,9480532.29,3799797.31,0.057418,0.32,0.10,-39926993.45,-3849312.46,0.051816,-0.33,0.64,6195533.99,3935171.48,0.053014,0.34,,,,,,,,,,,,,,,,
2001-04-30T00:00:00,290662.86,1.00,138321.33,138321.33,0.051410,0.01,0.01,-517957907.45,-4243122.04,0.013375,-0.33,0.11,37684211.26,4159405.22,0.062178,0.32,0.58,-7104648.41,-4107445.46,0.039510,-0.32,0.42,10274507.14,4289605.98,0.059744,0.33,0.10,-42619534.98,-4166865.62,0.053497,-0.33,0.65,6474651.14,4220763.45,0.055915,0.33,,,,,,,,,,,,,,,,
2001-05-31T00:00:00,265919.92,1.00,274507.89,274507.89,0.053914,0.02,0.01,-501193884.13,-4215255.54,0.012060,-0.34,0.11,37373644.96,3962640.61,0.064663,0.32,0.56,-7116943.26,-3961119.42,0.039390,-0.32,0.41,9886558.94,4059421.61,0.063296,0.33,0.09,-6109.04,-563.75,0.056392,-0.00,0.65,969.05,632.75,0.058471,0.00,0.51,7980150.58,4058703.91,0.059373,0.33,0.85,-4622620.73,-3913048.14,0.055800,-0.32,,,,,,
2001-06-29T00:00:00,460197.92,1.00,259806.09,259806.09,0.052843,0.02,0.01,-489111453.74,-3934294.19,0.010981,-0.31,0.11,38982376.04,4157765.31,0.065895,0.33,0.56,-7405099.29,-4119665.81,0.037800,-0.33,0.41,10066203.34,4081845.86,0.064475,0.32,0.09,-0.92,-0.08,0.057847,-0.00,0.66,0.15,0.10,0.057181,0.00,0.51,8120916.80,4141668.23,0.058967,0.33,0.85,-4876435.43,-4126927.60,0.055505,-0.33,,,,,,
2001-07-31T00:00:00,426746.99,1.00,452509.05,452509.05,0.052362,0.03,0.01,-512515240.68,-4108173.95,0.012154,-0.31,0.11,38859257.79,4266731.57,0.066419,0.32,0.58,-7425403.60,-4324134.40,0.037550,-0.33,0.42,10222807.04,4250643.88,0.065945,0.32,0.09,-0.00,-0.00,0.058107,-0.00,0.65,0.00,0.00,0.057945,0.00,0.52,8120312.40,4186833.02,0.060807,0.32,0.88,-4889261.17,-4297662.19,0.055431,-0.33,,,,,,
2001-08-31T00:00:00,463517.06,1.00,416948.42,416948.42,0.049713,0.03,0.01,-515502826.62,-4337423.87,0.012203,-0.33,0.11,37827453.57,4247030.76,0.064504,0.32,0.59,-7106682.05,-4179909.45,0.036840,-0.32,0.43,9989386.77,4319411.68,0.064170,0.33,0.09,-0.00,-0.00,0.058107,-0.00,0.65,0.00,0.00,0.055309,0.00,0.52,8047367.50,4199116.54,0.057615,0.32,0.89,-4716721.35,-4201657.02,0.053170,-0.32,,,,,,
2001-09-28T00:00:00,-237700.15,1.00,452112.37,452112.37,0.047487,0.04,0.01,-492135560.18,-4097373.74,0.012444,-0.33,0.11,37053839.75,4198259.66,0.063947,0.34,0.62,-7048707.61,-4353741.58,0.036480,-0.35,0.41,9622527.52,3907707.91,0.062095,0.31,0.09,-0.00,-0.00,0.058107,-0.00,0.63,0.00,0.00,0.055309,0.00,0.49,7964339.07,3924029.16,0.056003,0.31,0.92,-4661674.16,-4268693.92,0.052967,-0.34,,,,,,
2001-10-31T00:00:00,135587.16,1.00,172.95,172.95,0.045648,0.00,0.01,-498577382.74,-4097615.64,0.012789,-0.32,0.11,36821610.18,4184416.53,0.061004,0.33,0.62,-6732522.68,-4144876.37,0.034510,-0.33,0.41,10273817.09,4260551.46,0.058868,0.34,0.09,-0.00,-0.00,0.058107,-0.00,0.63,0.00,0.00,0.055309,0.00,0.51,8202782.19,4178496.90,0.054076,0.33,0.91,-4683462.58,-4245558.67,0.052967,-0.34,,,,,,
2001-11-30T00:00:00,371106.38,1.00,120598.20,120598.20,0.046367,0.01,0.01,-506060676.19,-4087232.37,0.012794,-0.32,0.11,36766260.80,4098482.93,0.058571,0.32,0.60,-6767577.50,-4090900.99,0.037720,-0.32,0.41,10084353.90,4181981.08,0.057923,0.33,0.09,-0.00,-0.00,0.058107,-0.00,0.63,0.00,0.00,0.055309,0.00,0.52,8196673.40,4246697.19,0.054379,0.34,0.89,-4601977.71,-4098519.66,0.050787,-0.32,,,,,,
2001-12-31T00:00:00,625223.69,1.00,363702.29,363702.29,0.050875,0.03,0.01,-516049726.06,-3905916.79,0.012940,-0.30,0.11,37566459.59,4230171.34,0.061682,0.33,0.61,-6908492.73,-4211468.38,0.040040,-0.32,0.42,10095773.70,4246282.19,0.061874,0.33,0.10,-0.00,-0.00,0.058107,-0.00,0.63,0.00,0.00,0.055309,0.00,0.51,8078182.97,4148146.25,0.058168,0.32,0.90,-4695006.43,-4245693.21,0.053105,-0.33,,,,,,
2002-01-31T00:00:00,924364.00,1.00,618833.70,618833.70,0.050357,0.05,0.01,-552158349.08,-4124278.08,0.014641,-0.32,0.11,37285802.74,4092483.95,0.062376,0.31,0.58,-6867579.38,-3996961.57,0.040440,-0.31,0.42,9979313.71,4163369.55,0.062500,0.32,0.09,-0.00,-0.00,0.058107,-0.00,0.63,0.00,0.00,0.055309,0.00,0.51,8172543.12,4163093.11,0.058607,0.32,0.86,-4636134.72,-3992176.67,0.053845,-0.31,,,,,,
